timestamp,question,answer_len,context_relevance,faithfulness,answer_relevancy,answer_correctness
2025-10-06T16:50:48,"Qual é a carga horária máxima semestral atribuída a um professor tutor para a atividade de orientação, e qual é o caráter dessa atividade?",240,1.0,1.0,0.8500838795049425,
2025-10-06T16:56:10,"De acordo com o Art. 5º, quais são as responsabilidades do aluno que participa do Programa de Tutoria?",695,1.0,1.0,0.9646709975045701,
2025-10-06T17:02:26,"Segundo a Resolução, quem é o responsável por designar os professores tutores e solicitar a emissão de portaria para a alocação dos alunos?",254,1.0,1.0,0.9819110466239059,
2025-10-06T17:03:39,Quais são os requisitos que um docente deve atender para poder exercer a atividade de tutoria?,354,1.0,1.0,0.9976715833114403,
2025-10-06T17:04:48,Em que circunstâncias um aluno pode solicitar a troca de tutor e o desligamento do programa?,422,1.0,1.0,0.86923865860213,
2025-10-06T17:05:50,Quando a Universidade Federal de Goiás (UFG) foi criada e quais cinco escolas superiores foram unidas para sua fundação?,231,1.0,1.0,0.0,
2025-10-06T17:06:33,"De acordo com a Constituição Federal de 1988, quais tipos de autonomia a UFG possui e qual princípio rege seu funcionamento?",296,1.0,1.0,0.9015475683665537,
2025-10-06T17:07:12,Quais foram os dois principais programas ou políticas de expansão da UFG mencionados no documento?,396,0.0,0.6666666666666666,0.9829247855140529,
2025-10-06T17:07:57,O que aconteceu com as antigas Regionais Catalão e Jataí da UFG em 2018?,364,1.0,0.25,0.9910802378550813,
2025-10-06T17:08:28,"Segundo os dados comparativos de 2008 a 2019, qual foi o aumento percentual no número de discentes de graduação e de pós-graduação stricto sensu na UFG?",19,0.0,0.0,0.0,
2025-10-06T17:09:14,"Como o Art. 2º da Portaria define nepotismo, e qual Súmula vinculante é citada como base para essa definição?",487,1.0,0.6666666666666666,0.8533845075157603,
2025-10-06T17:10:02,"De acordo com o Art. 3º, quais são algumas das vedações expressas em relação à contratação ou designação de familiares no âmbito da UFG?",879,1.0,1.0,0.9247763044970952,
2025-10-06T17:10:52,O Art. 5º lista exceções às vedações de nepotismo. Qual é uma das exceções relacionadas a cargos de maior hierarquia e qual é a condição imposta para que ela seja válida?,395,1.0,0.5,0.9371035643363781,
2025-10-06T17:12:20,"Qual setor da UFG é responsável por receber os pedidos de designação/nomeação de servidores, e que tipo de declarações são exigidas dos indicados para esses cargos/funções?",333,1.0,0.8333333333333334,0.788217446424369,
2025-10-06T17:13:00,"Quais são as responsabilidades da Ouvidoria, da Auditoria Interna e da Coordenação de Processo Administrativo (CDPA) no combate ao nepotismo, conforme a Portaria?",465,1.0,1.0,0.9338678416289875,
2025-10-06T17:13:46,"De acordo com o Sumário do documento, quais são os cinco títulos principais que organizam a estrutura e o funcionamento da UFG?",367,1.0,0.0,0.0,
2025-10-06T17:14:34,O Estatuto e Regimento Geral detalham a estrutura acadêmica e administrativa da universidade. Quais são os principais conselhos e órgãos que compõem a Administração Central da UFG?,388,1.0,1.0,0.937416832843411,
2025-10-06T17:15:17,"Quais são os três grupos que formam a Comunidade Universitária da UFG, conforme listado no Título IV do Regimento Geral?",213,1.0,0.0,0.9599032976306777,
2025-10-06T17:16:28,"Com base na Portaria nº 1.150 de 7 de novembro de 1996, quem foi o Ministro de Estado da Educação e do Desporto responsável por aprovar as alterações do Estatuto da UFG?",188,1.0,0.5,0.8953798069000002,
2025-10-06T17:17:31,Quando o Regimento Geral aprovado em 1996 entrou em vigor e o que aconteceu com as disposições anteriores?,206,1.0,0.5,0.8836496195088727,
2025-10-06T17:18:22,Qual é o objetivo principal da Resolução EMC Nº 02/2023 e quais cursos ela afeta?,503,0.0,1.0,0.8558645951934926,
2025-10-06T17:18:45,"A resolução menciona duas abreviações na tabela, CHA e CHM. Qual é o significado de cada uma delas?",19,,,,
2025-10-06T17:20:06,"Qual é a carga horária máxima permitida para a participação em um programa de tutoria, e a qual documento essa atividade está relacionada?",245,1.0,0.6666666666666666,0.8558808335983069,
